Cancer,Year,Sex,Age,Risk,Risk_1_X,Type
Non-melanoma skin cancer (rare types),2007,Persons,before age 85,0.4598,217.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 90,0.6123,163.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,Lifetime,0.7801,128.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 10,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 15,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 20,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 25,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 30,0.0015,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 35,0.0030,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 40,0.0045,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 45,0.0093,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 50,0.0165,6053.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 55,0.0291,3437.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 60,0.0507,1971.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 65,0.0833,1200.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 70,0.1519,658.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 75,0.2690,372.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 80,0.4407,227.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 85,0.6517,153.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 90,0.8713,115.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,Lifetime,1.1034,91.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age  5,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 10,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 15,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 20,0.0013,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 25,0.0019,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 30,0.0029,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 35,0.0044,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 40,0.0059,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 45,0.0090,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 50,0.0120,8333.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 55,0.0216,4624.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 60,0.0290,3451.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 65,0.0481,2080.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 70,0.0831,1203.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 75,0.1189,841.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 80,0.1928,519.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 85,0.2920,342.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 90,0.3928,255.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,Lifetime,0.5251,190.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age  5,0.0003,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 10,0.0003,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 15,0.0003,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 20,0.0006,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 25,0.0009,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 30,0.0022,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 35,0.0037,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 40,0.0052,19371.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 45,0.0091,10932.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 50,0.0142,7033.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 55,0.0253,3951.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 60,0.0398,2514.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 65,0.0656,1525.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 70,0.1173,853.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 75,0.1936,516.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 80,0.3175,315.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 85,0.4740,211.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 90,0.6338,158.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,Lifetime,0.8116,123.0,Diagnosis
,2007,,,,,Diagnosis
. .      not applicable,2007,,,,,Diagnosis
"n.p.   not published due to small numbers, confidentiality, and/or reliability concerns",2007,,,,,Diagnosis
n.a.   not available,2007,,,,,Diagnosis
,2007,,,,,Diagnosis
Notes,2007,,,,,Diagnosis
"1. Where risk (%) estimates are calculated based on counts less than 20 people, the equivalent '1 in X' figure has been suppressed.",2007,,,,,Diagnosis
2. '1 in X' risk estimates can be calculated by performing the following calculation: X = [100 / Risk (%) ],2007,,,,,Diagnosis
3. Risk (%) estimates have been rounded to 4 decimal places where possible. Calculation of '1in X' figures using these rounded estimates may produce results different to the '1 in X' figures above as they are calculated using unrounded risk (%) estimates.,2007,,,,,Diagnosis
4. Lifetime risk estimates are only available from 1982 to 2024 for diagnosis risk and from 1971 to 2024 for death risk under the adjusted for competing mortality framework.,2007,,,,,Diagnosis
"5. Risk of diagnosis estimates are available for most cancers from 1982 to 2020 and projections to 2024 with exceptions to some cancer groups. Reported from 2003 onwards: all blood cancers combined, myelodysplastic syndromes, myeloproliferative neoplasms (excluding CML). Reported from 2001 onwards: non-melanoma skin cancer (rare types). Reported from 1997 onwards: chronic myelomonocytic leukaemia (including juvenile), other blood cancers, other and unspecified leukaemia, other and unspecified lymphoid leukaemia, other and unspecified myeloid leukaemia, other plasma cell cancers. Risk of diagnosis for endometrial cancer is reported from 2010 onwards and for ovarian cancer (C56) from 1982 to 2020. Projections have not been provided for ovarian cancer (C56). Risk of diagnosis is not reported for sublingual gland cancer and cancer of other female genital organs (C57).",2007,,,,,Diagnosis
"6. Risk of death estimates based on the National Mortality Database (NMD) are available for most cancers from 1971 to 2022 and projections to 2024 with exceptions to some cancer groups. Reported from 1997 onwards: all blood cancers combined, cancer of connective, subcutaneous and other soft tissues, endometrial cancer, Kaposi sarcoma, mesothelioma, myelodysplastic syndromes, myeloproliferative neoplasms, myeloproliferative neoplasms (excluding CML), other blood cancers, other and unspecified leukaemia, other and unspecified lymphoid leukaemia, other and unspecified myeloid leukaemia, cancer of the peripheral nerves and autonomic nervous system, other plasma cell cancers, other thoracic and respiratory organs. Reported from 1979 onwards: acute myeloid leukaemia, appendiceal cancer, cancer of the brain and other central nervous system, fallopian tube cancer, other central nervous system cancers, cancer of other endocrine glands, cancer of overlapping and unspecified sites in major salivary glands, cancer of overlapping and unspecified sites in urinary tract, submandibular gland cancer, urethral cancer. Risk of death for chronic myelomonocytic leukaemia (including juvenile) is reported from 2013. Risk of death is not reported for sublingual gland cancer.",2007,,,,,Diagnosis
"7. Mortality data from the NMD is not available for the following cancers: all sarcomas combined, neuroendocrine neoplasms, non-melanoma skin cancer (rare types), soft tissue sarcomas, ovarian cancer and serous carcinomas of the fallopian tube, other female genital organs excluding serous carcinomas of the fallopian tube.",2007,,,,,Diagnosis
8. The cumulative count of people diagnosed/deaths is the figure from which risk estimates are derived and only include people whose age at diagnosis/death is known.,2007,,,,,Diagnosis
9. Cumulative number of people diagnosed/deaths for a given age range is the total number of diagnoses/deaths for all ages up to and including the given age range.,2007,,,,,Diagnosis
"10. Data for acute myeloid leukaemia, other and unspecified myeloid leukaemia, other and unspecified lymphoid leukaemia are not comparable to data released in previous years due to a change in the ICD-10 coding of these groups. However, the data within this workbook is comparable between the years presented.",2007,,,,,Diagnosis
,2007,,,,,Diagnosis
"Source: AIHW Australian Cancer Database 2020, National Mortality Database",2007,,,,,Diagnosis
Melanoma of the skin,2007,Males,before age  5,0.0000,,Death
Melanoma of the skin,2007,Males,before age 10,0.0000,,Death
Melanoma of the skin,2007,Males,before age 15,0.0000,,Death
Melanoma of the skin,2007,Males,before age 20,0.0000,,Death
Melanoma of the skin,2007,Males,before age 25,0.0020,,Death
Melanoma of the skin,2007,Males,before age 30,0.0067,,Death
Melanoma of the skin,2007,Males,before age 35,0.0101,,Death
Melanoma of the skin,2007,Males,before age 40,0.0227,4403.0,Death
Melanoma of the skin,2007,Males,before age 45,0.0389,2571.0,Death
Melanoma of the skin,2007,Males,before age 50,0.0696,1436.0,Death
Melanoma of the skin,2007,Males,before age 55,0.1035,966.0,Death
Melanoma of the skin,2007,Males,before age 60,0.1661,602.0,Death
Melanoma of the skin,2007,Males,before age 65,0.2460,407.0,Death
Melanoma of the skin,2007,Males,before age 70,0.3305,303.0,Death
Melanoma of the skin,2007,Males,before age 75,0.4555,220.0,Death
Melanoma of the skin,2007,Males,before age 80,0.6373,157.0,Death
Melanoma of the skin,2007,Males,before age 85,0.8071,124.0,Death
Melanoma of the skin,2007,Males,before age 90,0.9505,105.0,Death
Melanoma of the skin,2007,Males,Lifetime,1.0535,95.0,Death
Melanoma of the skin,2007,Females,before age  5,0.0000,,Death
Melanoma of the skin,2007,Females,before age 10,0.0000,,Death
Melanoma of the skin,2007,Females,before age 15,0.0000,,Death
Melanoma of the skin,2007,Females,before age 20,0.0007,,Death
Melanoma of the skin,2007,Females,before age 25,0.0028,,Death
Melanoma of the skin,2007,Females,before age 30,0.0105,,Death
Melanoma of the skin,2007,Females,before age 35,0.0159,6300.0,Death
Melanoma of the skin,2007,Females,before age 40,0.0222,4512.0,Death
Melanoma of the skin,2007,Females,before age 45,0.0325,3073.0,Death
Melanoma of the skin,2007,Females,before age 50,0.0492,2033.0,Death
Melanoma of the skin,2007,Females,before age 55,0.0674,1484.0,Death
Melanoma of the skin,2007,Females,before age 60,0.0856,1168.0,Death
Melanoma of the skin,2007,Females,before age 65,0.1193,838.0,Death
Melanoma of the skin,2007,Females,before age 70,0.1584,631.0,Death
Melanoma of the skin,2007,Females,before age 75,0.2098,477.0,Death
Melanoma of the skin,2007,Females,before age 80,0.2814,355.0,Death
Melanoma of the skin,2007,Females,before age 85,0.3468,288.0,Death
Melanoma of the skin,2007,Females,before age 90,0.4120,243.0,Death
Melanoma of the skin,2007,Females,Lifetime,0.4998,200.0,Death
Melanoma of the skin,2007,Persons,before age  5,0.0000,,Death
Melanoma of the skin,2007,Persons,before age 10,0.0000,,Death
Melanoma of the skin,2007,Persons,before age 15,0.0000,,Death
Melanoma of the skin,2007,Persons,before age 20,0.0003,,Death
Melanoma of the skin,2007,Persons,before age 25,0.0024,,Death
Melanoma of the skin,2007,Persons,before age 30,0.0086,11678.0,Death
Melanoma of the skin,2007,Persons,before age 35,0.0130,7720.0,Death
Melanoma of the skin,2007,Persons,before age 40,0.0224,4464.0,Death
Melanoma of the skin,2007,Persons,before age 45,0.0357,2802.0,Death
Melanoma of the skin,2007,Persons,before age 50,0.0594,1684.0,Death
Melanoma of the skin,2007,Persons,before age 55,0.0855,1170.0,Death
Melanoma of the skin,2007,Persons,before age 60,0.1262,792.0,Death
Melanoma of the skin,2007,Persons,before age 65,0.1836,545.0,Death
Melanoma of the skin,2007,Persons,before age 70,0.2461,406.0,Death
Melanoma of the skin,2007,Persons,before age 75,0.3350,299.0,Death
Melanoma of the skin,2007,Persons,before age 80,0.4619,217.0,Death
Melanoma of the skin,2007,Persons,before age 85,0.5771,173.0,Death
Melanoma of the skin,2007,Persons,before age 90,0.6768,148.0,Death
Melanoma of the skin,2007,Persons,Lifetime,0.7677,130.0,Death
Melanoma of the skin,2007,Males,before age  5,0.0000,,Death
Melanoma of the skin,2007,Males,before age 10,0.0000,,Death
Melanoma of the skin,2007,Males,before age 15,0.0000,,Death
Melanoma of the skin,2007,Males,before age 20,0.0007,,Death
Melanoma of the skin,2007,Males,before age 25,0.0032,,Death
Melanoma of the skin,2007,Males,before age 30,0.0064,,Death
Melanoma of the skin,2007,Males,before age 35,0.0152,6584.0,Death
Melanoma of the skin,2007,Males,before age 40,0.0269,3713.0,Death
Melanoma of the skin,2007,Males,before age 45,0.0419,2387.0,Death
Melanoma of the skin,2007,Males,before age 50,0.0614,1629.0,Death
Melanoma of the skin,2007,Males,before age 55,0.0907,1103.0,Death
Melanoma of the skin,2007,Males,before age 60,0.1572,636.0,Death
Melanoma of the skin,2007,Males,before age 65,0.2274,440.0,Death
Melanoma of the skin,2007,Males,before age 70,0.3446,290.0,Death
Melanoma of the skin,2007,Males,before age 75,0.4793,209.0,Death
Melanoma of the skin,2007,Males,before age 80,0.6699,149.0,Death
Melanoma of the skin,2007,Males,before age 85,0.8694,115.0,Death
Melanoma of the skin,2007,Males,before age 90,1.0059,99.0,Death
Melanoma of the skin,2007,Males,Lifetime,1.0994,91.0,Death
Melanoma of the skin,2007,Females,before age  5,0.0000,,Death
Melanoma of the skin,2007,Females,before age 10,0.0000,,Death
Melanoma of the skin,2007,Females,before age 15,0.0000,,Death
Melanoma of the skin,2007,Females,before age 20,0.0000,,Death
Melanoma of the skin,2007,Females,before age 25,0.0020,,Death
Melanoma of the skin,2007,Females,before age 30,0.0067,,Death
Melanoma of the skin,2007,Females,before age 35,0.0101,,Death
Melanoma of the skin,2007,Females,before age 40,0.0206,4866.0,Death
Melanoma of the skin,2007,Females,before age 45,0.0336,2978.0,Death
Melanoma of the skin,2007,Females,before age 50,0.0500,2002.0,Death
Melanoma of the skin,2007,Females,before age 55,0.0671,1489.0,Death
Melanoma of the skin,2007,Females,before age 60,0.0874,1144.0,Death
Melanoma of the skin,2007,Females,before age 65,0.1210,827.0,Death
Melanoma of the skin,2007,Females,before age 70,0.1689,592.0,Death
Melanoma of the skin,2007,Females,before age 75,0.2168,461.0,Death
Melanoma of the skin,2007,Females,before age 80,0.2800,357.0,Death
Melanoma of the skin,2007,Females,before age 85,0.3527,284.0,Death
Melanoma of the skin,2007,Females,before age 90,0.4420,226.0,Death
Melanoma of the skin,2007,Females,Lifetime,0.5239,191.0,Death
Melanoma of the skin,2007,Persons,before age  5,0.0000,,Death
Melanoma of the skin,2007,Persons,before age 10,0.0000,,Death
Melanoma of the skin,2007,Persons,before age 15,0.0000,,Death
Melanoma of the skin,2007,Persons,before age 20,0.0003,,Death
Melanoma of the skin,2007,Persons,before age 25,0.0026,,Death
Melanoma of the skin,2007,Persons,before age 30,0.0066,15227.0,Death
Melanoma of the skin,2007,Persons,before age 35,0.0126,7908.0,Death
Melanoma of the skin,2007,Persons,before age 40,0.0238,4210.0,Death
Melanoma of the skin,2007,Persons,before age 45,0.0377,2650.0,Death
Melanoma of the skin,2007,Persons,before age 50,0.0557,1796.0,Death
Melanoma of the skin,2007,Persons,before age 55,0.0789,1267.0,Death
Melanoma of the skin,2007,Persons,before age 60,0.1226,815.0,Death
Melanoma of the skin,2007,Persons,before age 65,0.1750,571.0,Death
Melanoma of the skin,2007,Persons,before age 70,0.2586,387.0,Death
Melanoma of the skin,2007,Persons,before age 75,0.3507,285.0,Death
Melanoma of the skin,2007,Persons,before age 80,0.4778,209.0,Death
Melanoma of the skin,2007,Persons,before age 85,0.6114,164.0,Death
Melanoma of the skin,2007,Persons,before age 90,0.7210,139.0,Death
Melanoma of the skin,2007,Persons,Lifetime,0.8050,124.0,Death
Melanoma of the skin,2007,Males,before age  5,0.0000,,Death
Melanoma of the skin,2007,Males,before age 10,0.0007,,Death
Melanoma of the skin,2007,Males,before age 15,0.0007,,Death
Melanoma of the skin,2007,Males,before age 20,0.0007,,Death
Melanoma of the skin,2007,Males,before age 25,0.0013,,Death
Melanoma of the skin,2007,Males,before age 30,0.0032,,Death
Melanoma of the skin,2007,Males,before age 35,0.0131,7611.0,Death
Melanoma of the skin,2007,Males,before age 40,0.0229,4359.0,Death
Melanoma of the skin,2007,Males,before age 45,0.0384,2603.0,Death
Melanoma of the skin,2007,Males,before age 50,0.0596,1679.0,Death
Melanoma of the skin,2007,Males,before age 55,0.0969,1032.0,Death
Melanoma of the skin,2007,Males,before age 60,0.1467,681.0,Death
Melanoma of the skin,2007,Males,before age 65,0.2207,453.0,Death
Melanoma of the skin,2007,Males,before age 70,0.3309,302.0,Death
Melanoma of the skin,2007,Males,before age 75,0.4858,206.0,Death
Melanoma of the skin,2007,Males,before age 80,0.6475,154.0,Death
Melanoma of the skin,2007,Males,before age 85,0.8590,116.0,Death
Melanoma of the skin,2007,Males,before age 90,0.9954,100.0,Death
Melanoma of the skin,2007,Males,Lifetime,1.1042,91.0,Death
Melanoma of the skin,2007,Females,before age  5,0.0000,,Death
Melanoma of the skin,2007,Females,before age 10,0.0000,,Death
Melanoma of the skin,2007,Females,before age 15,0.0000,,Death
Melanoma of the skin,2007,Females,before age 20,0.0000,,Death
Melanoma of the skin,2007,Females,before age 25,0.0019,,Death
Melanoma of the skin,2007,Females,before age 30,0.0058,,Death
Melanoma of the skin,2007,Females,before age 35,0.0091,,Death
Melanoma of the skin,2007,Females,before age 40,0.0183,5469.0,Death
Melanoma of the skin,2007,Females,before age 45,0.0312,3206.0,Death
Melanoma of the skin,2007,Females,before age 50,0.0455,2196.0,Death
Melanoma of the skin,2007,Females,before age 55,0.0670,1492.0,Death
Melanoma of the skin,2007,Females,before age 60,0.0943,1061.0,Death
Melanoma of the skin,2007,Females,before age 65,0.1266,790.0,Death
Melanoma of the skin,2007,Females,before age 70,0.1818,550.0,Death
Melanoma of the skin,2007,Females,before age 75,0.2345,426.0,Death
Melanoma of the skin,2007,Females,before age 80,0.2929,341.0,Death
Melanoma of the skin,2007,Females,before age 85,0.3607,277.0,Death
Melanoma of the skin,2007,Females,before age 90,0.4413,227.0,Death
Melanoma of the skin,2007,Females,Lifetime,0.5252,190.0,Death
Melanoma of the skin,2007,Persons,before age  5,0.0000,,Death
Melanoma of the skin,2007,Persons,before age 10,0.0004,,Death
Melanoma of the skin,2007,Persons,before age 15,0.0004,,Death
Melanoma of the skin,2007,Persons,before age 20,0.0004,,Death
Melanoma of the skin,2007,Persons,before age 25,0.0016,,Death
Melanoma of the skin,2007,Persons,before age 30,0.0044,,Death
Melanoma of the skin,2007,Persons,before age 35,0.0111,8996.0,Death
Melanoma of the skin,2007,Persons,before age 40,0.0206,4855.0,Death
Melanoma of the skin,2007,Persons,before age 45,0.0348,2874.0,Death
Melanoma of the skin,2007,Persons,before age 50,0.0525,1903.0,Death
Melanoma of the skin,2007,Persons,before age 55,0.0820,1220.0,Death
Melanoma of the skin,2007,Persons,before age 60,0.1206,829.0,Death
Melanoma of the skin,2007,Persons,before age 65,0.1743,574.0,Death
Melanoma of the skin,2007,Persons,before age 70,0.2578,388.0,Death
Melanoma of the skin,2007,Persons,before age 75,0.3627,276.0,Death
Melanoma of the skin,2007,Persons,before age 80,0.4730,211.0,Death
Melanoma of the skin,2007,Persons,before age 85,0.6102,164.0,Death
Melanoma of the skin,2007,Persons,before age 90,0.7151,140.0,Death
Melanoma of the skin,2007,Persons,Lifetime,0.8066,124.0,Death
Melanoma of the skin,2007,Males,before age  5,0.0007,,Death
Melanoma of the skin,2007,Males,before age 10,0.0007,,Death
Melanoma of the skin,2007,Males,before age 15,0.0007,,Death
Melanoma of the skin,2007,Males,before age 20,0.0013,,Death
Melanoma of the skin,2007,Males,before age 25,0.0013,,Death
Melanoma of the skin,2007,Males,before age 30,0.0049,,Death
Melanoma of the skin,2007,Males,before age 35,0.0115,,Death
Melanoma of the skin,2007,Males,before age 40,0.0231,4321.0,Death
Melanoma of the skin,2007,Males,before age 45,0.0340,2945.0,Death
Melanoma of the skin,2007,Males,before age 50,0.0570,1754.0,Death
Melanoma of the skin,2007,Males,before age 55,0.0878,1139.0,Death
Melanoma of the skin,2007,Males,before age 60,0.1428,700.0,Death
Melanoma of the skin,2007,Males,before age 65,0.2269,441.0,Death
Melanoma of the skin,2007,Males,before age 70,0.3355,298.0,Death
Melanoma of the skin,2007,Males,before age 75,0.4808,208.0,Death
Melanoma of the skin,2007,Males,before age 80,0.6431,155.0,Death
Melanoma of the skin,2007,Males,before age 85,0.8482,118.0,Death
Melanoma of the skin,2007,Males,before age 90,1.0264,97.0,Death
Melanoma of the skin,2007,Males,Lifetime,1.1422,88.0,Death
Melanoma of the skin,2007,Females,before age  5,0.0000,,Death
Melanoma of the skin,2007,Females,before age 10,0.0000,,Death
Melanoma of the skin,2007,Females,before age 15,0.0000,,Death
Melanoma of the skin,2007,Females,before age 20,0.0000,,Death
Melanoma of the skin,2007,Females,before age 25,0.0013,,Death
Melanoma of the skin,2007,Females,before age 30,0.0044,,Death
Melanoma of the skin,2007,Females,before age 35,0.0064,,Death
Melanoma of the skin,2007,Females,before age 40,0.0125,8015.0,Death
Melanoma of the skin,2007,Females,before age 45,0.0265,3780.0,Death
Melanoma of the skin,2007,Females,before age 50,0.0352,2842.0,Death
Melanoma of the skin,2007,Females,before age 55,0.0549,1821.0,Death
Melanoma of the skin,2007,Females,before age 60,0.0854,1171.0,Death
Melanoma of the skin,2007,Females,before age 65,0.1223,818.0,Death
Melanoma of the skin,2007,Females,before age 70,0.1631,613.0,Death
Melanoma of the skin,2007,Females,before age 75,0.2253,444.0,Death
Melanoma of the skin,2007,Females,before age 80,0.2906,344.0,Death
Melanoma of the skin,2007,Females,before age 85,0.3662,273.0,Death
Melanoma of the skin,2007,Females,before age 90,0.4290,233.0,Death
Melanoma of the skin,2007,Females,Lifetime,0.4927,203.0,Death
Melanoma of the skin,2007,Persons,before age  5,0.0003,,Death
Melanoma of the skin,2007,Persons,before age 10,0.0003,,Death
Melanoma of the skin,2007,Persons,before age 15,0.0003,,Death
Melanoma of the skin,2007,Persons,before age 20,0.0007,,Death
Melanoma of the skin,2007,Persons,before age 25,0.0013,,Death
Melanoma of the skin,2007,Persons,before age 30,0.0046,,Death
Melanoma of the skin,2007,Persons,before age 35,0.0089,11210.0,Death
Melanoma of the skin,2007,Persons,before age 40,0.0178,5612.0,Death
Melanoma of the skin,2007,Persons,before age 45,0.0302,3310.0,Death
Melanoma of the skin,2007,Persons,before age 50,0.0461,2169.0,Death
Melanoma of the skin,2007,Persons,before age 55,0.0714,1401.0,Death
Melanoma of the skin,2007,Persons,before age 60,0.1142,876.0,Death
Melanoma of the skin,2007,Persons,before age 65,0.1753,571.0,Death
Melanoma of the skin,2007,Persons,before age 70,0.2509,399.0,Death
Melanoma of the skin,2007,Persons,before age 75,0.3558,281.0,Death
Melanoma of the skin,2007,Persons,before age 80,0.4695,213.0,Death
Melanoma of the skin,2007,Persons,before age 85,0.6077,165.0,Death
Melanoma of the skin,2007,Persons,before age 90,0.7218,139.0,Death
Melanoma of the skin,2007,Persons,Lifetime,0.8052,124.0,Death
Melanoma of the skin,2007,Males,before age  5,0.0000,,Death
Melanoma of the skin,2007,Males,before age 10,0.0000,,Death
Melanoma of the skin,2007,Males,before age 15,0.0000,,Death
Melanoma of the skin,2007,Males,before age 20,0.0000,,Death
Melanoma of the skin,2007,Males,before age 25,0.0006,,Death
Melanoma of the skin,2007,Males,before age 30,0.0065,,Death
Melanoma of the skin,2007,Males,before age 35,0.0129,7778.0,Death
Melanoma of the skin,2007,Males,before age 40,0.0204,4912.0,Death
Melanoma of the skin,2007,Males,before age 45,0.0395,2532.0,Death
Melanoma of the skin,2007,Males,before age 50,0.0609,1642.0,Death
Melanoma of the skin,2007,Males,before age 55,0.0955,1047.0,Death
Melanoma of the skin,2007,Males,before age 60,0.1516,660.0,Death
Melanoma of the skin,2007,Males,before age 65,0.2360,424.0,Death
Melanoma of the skin,2007,Males,before age 70,0.3367,297.0,Death
Melanoma of the skin,2007,Males,before age 75,0.4912,204.0,Death
Melanoma of the skin,2007,Males,before age 80,0.6967,144.0,Death
Melanoma of the skin,2007,Males,before age 85,0.9006,111.0,Death
Melanoma of the skin,2007,Males,before age 90,1.0777,93.0,Death
Melanoma of the skin,2007,Males,Lifetime,1.2378,81.0,Death
Melanoma of the skin,2007,Females,before age  5,0.0000,,Death
Melanoma of the skin,2007,Females,before age 10,0.0000,,Death
Melanoma of the skin,2007,Females,before age 15,0.0000,,Death
Melanoma of the skin,2007,Females,before age 20,0.0000,,Death
Melanoma of the skin,2007,Females,before age 25,0.0013,,Death
Melanoma of the skin,2007,Females,before age 30,0.0037,,Death
Melanoma of the skin,2007,Females,before age 35,0.0089,,Death
Melanoma of the skin,2007,Females,before age 40,0.0201,4982.0,Death
Melanoma of the skin,2007,Females,before age 45,0.0305,3277.0,Death
Melanoma of the skin,2007,Females,before age 50,0.0425,2355.0,Death
Melanoma of the skin,2007,Females,before age 55,0.0604,1655.0,Death
Melanoma of the skin,2007,Females,before age 60,0.0839,1193.0,Death
Melanoma of the skin,2007,Females,before age 65,0.1189,841.0,Death
Melanoma of the skin,2007,Females,before age 70,0.1493,670.0,Death
Melanoma of the skin,2007,Females,before age 75,0.1971,507.0,Death
Melanoma of the skin,2007,Females,before age 80,0.2657,376.0,Death
Melanoma of the skin,2007,Females,before age 85,0.3502,286.0,Death
Melanoma of the skin,2007,Females,before age 90,0.4444,225.0,Death
Melanoma of the skin,2007,Females,Lifetime,0.5231,191.0,Death
Melanoma of the skin,2007,Persons,before age  5,0.0000,,Death
Melanoma of the skin,2007,Persons,before age 10,0.0000,,Death
Melanoma of the skin,2007,Persons,before age 15,0.0000,,Death
Melanoma of the skin,2007,Persons,before age 20,0.0000,,Death
Melanoma of the skin,2007,Persons,before age 25,0.0009,,Death
Melanoma of the skin,2007,Persons,before age 30,0.0051,,Death
Melanoma of the skin,2007,Persons,before age 35,0.0109,9193.0,Death
Melanoma of the skin,2007,Persons,before age 40,0.0202,4941.0,Death
Melanoma of the skin,2007,Persons,before age 45,0.0350,2856.0,Death
Melanoma of the skin,2007,Persons,before age 50,0.0517,1935.0,Death
Melanoma of the skin,2007,Persons,before age 55,0.0780,1282.0,Death
Melanoma of the skin,2007,Persons,before age 60,0.1178,849.0,Death
Melanoma of the skin,2007,Persons,before age 65,0.1781,562.0,Death
Melanoma of the skin,2007,Persons,before age 70,0.2445,409.0,Death
Melanoma of the skin,2007,Persons,before age 75,0.3475,288.0,Death
Melanoma of the skin,2007,Persons,before age 80,0.4846,206.0,Death
Melanoma of the skin,2007,Persons,before age 85,0.6274,159.0,Death
Melanoma of the skin,2007,Persons,before age 90,0.7585,132.0,Death
Melanoma of the skin,2007,Persons,Lifetime,0.8693,115.0,Death
Melanoma of the skin,2007,Males,before age  5,0.0000,,Death
Melanoma of the skin,2007,Males,before age 10,0.0000,,Death
Melanoma of the skin,2007,Males,before age 15,0.0000,,Death
Melanoma of the skin,2007,Males,before age 20,0.0007,,Death
Melanoma of the skin,2007,Males,before age 25,0.0013,,Death
Melanoma of the skin,2007,Males,before age 30,0.0070,,Death
Melanoma of the skin,2007,Males,before age 35,0.0113,,Death
Melanoma of the skin,2007,Males,before age 40,0.0214,4672.0,Death
Melanoma of the skin,2007,Males,before age 45,0.0304,3287.0,Death
Melanoma of the skin,2007,Males,before age 50,0.0520,1923.0,Death
